Course Title,Description,Rating,Link,Duration,Level
GenAI Applied to Quantitative Finance: For Control Implementation,"This course explores the application of Generative AI in quantitative finance, focusing on building sustainable trading algorithms through keyword extraction, sentiment analysis, and time-series forecasting. Learn to predict commodity prices, such as gold, by integrating data from financial news sources, leveraging sentiment analysis, and optimizing models for robust trading signals.",4.7/5,https://courses.analyticsvidhya.com/courses/genai-applied-to-quantitative-finance-for-control-implementation,1 Hour,Intermediate
"Navigating LLM Tradeoffs: Techniques for Speed, Cost, Scale & Accuracy","This course provides a concise guide to optimizing Large Language Models (LLMs) by navigating tradeoffs in speed, cost, scale, and accuracy. Learn practical techniques like LoRA, model quantization, and parameter-efficient fine-tuning to improve performance while reducing costs. You'll explore various deployment strategies and understand how to evaluate LLMs using industry-standard benchmarks, making this course ideal for anyone seeking efficient, scalable AI solutions.",4.8/5,https://courses.analyticsvidhya.com/courses/navigating-llm-tradeoffs-techniques-for-speed-cost-scale-and-accuracy,1 Hour,Beginner
Creating Problem-Solving Agents using GenAI for Action Composition,"This introductory course provides a concise overview of Agentic AI systems, covering their evolution, current state, and practical applications. You will explore key topics including the history of Agentic AI systems, the role of agents today, multi-agent systems, and practical solutions for implementing them. Perfect for those seeking a foundational understanding of intelligent Agentic AI systems in action.",4.7/5,https://courses.analyticsvidhya.com/courses/creating-problem-solving-agents-using-genai-for-action-composition,1 Hour,Beginner
Improving Real World RAG Systems: Key Challenges & Practical Solutions,"This course explores the key challenges in building real-world Retrieval-Augmented Generation (RAG) systems and provides practical solutions. Topics include improving data retrieval, dealing with hallucinations, context selection, and optimizing system performance using advanced prompting, retrieval strategies, and evaluation techniques. Through hands-on demos, you will gain insights into better chunking, embedding models, and agentic RAG systems for more robust, real-world applications.",4.8/5,https://courses.analyticsvidhya.com/courses/improving-real-world-rag-systems-key-challenges,1 Hour,Beginner
Framework to Choose the Right LLM for your Business,"This course will guide you through the process of selecting the most suitable Large Language Model (LLM) for various business needs. By examining factors such as accuracy, cost, scalability, and integration, you will understand how different LLMs perform in specific scenarios, from customer support to healthcare and strategy development. The course emphasizes practical decision-making with real-world case studies, helping businesses navigate the rapidly evolving LLM landscape effectively.",4.7/5,https://courses.analyticsvidhya.com/courses/choosing-the-right-LLM-for-your-business,1 Hour,Beginner
Building Smarter LLMs with Mamba and State Space Model,"Unlock the Power of State Space Models (SSM) like Mamba with our comprehensive course designed for AI professionals, data scientists, and NLP enthusiasts. Master the art of integrating SSM with deep learning, unravel the complexities of models like Mamba, and elevate your understanding of Generative AI's newest and most innovative models. This course is designed to equip you with the skills needed to understand these cutting-edge AI models and how they work, making you proficient in the latest AI techniques and architectures.",NA,https://courses.analyticsvidhya.com/courses/building-smarter-llms-with-mamba-and-state-space-model,NA,Beginner
Generative AI - A Way of Life - Free Course,"This course is a transformative journey tailored for beginners and delves into AI-powered text and image generation using leading tools like ChatGPT, Microsoft Copilot, and DALL·E3. Learn practical applications across industries, ethical considerations, and best practices. Whether you're a content creator, business innovator, or AI enthusiast, gain the expertise to harness Generative AI's full potential and drive innovation in your field.",4.7/5,https://courses.analyticsvidhya.com/courses/genai-a-way-of-life,6 Hours,Beginner
Building LLM Applications using Prompt Engineering - Free Course,Building LLM Applications using Prompt Engineering - Free Course,4.6/5,https://courses.analyticsvidhya.com/courses/building-llm-applications-using-prompt-engineering-free,2.1 Hours,Beginner 
Building Your First Computer Vision Model - Free Course,Building Your First Computer Vision Model - Free Course,4.6/5,https://courses.analyticsvidhya.com/courses/building-your-first-computer-vision-model,34 Mins,Beginner
MidJourney: From Inspiration to Implementation - Free Course,MidJourney: From Inspiration to Implementation - Free Course,4.6/5,https://courses.analyticsvidhya.com/courses/midjourney_from_inspiration_to_implementation,33 Mins,Intermediate
